Validation error matrix_RF_bajie2_2020_30: ,"[[13, 0, 0, 3, 0, 1, 0, 0, 0], [2, 12, 0, 1, 1, 1, 0, 0, 0], [2, 0, 12, 1, 2, 4, 0, 1, 0], [2, 5, 2, 8, 0, 2, 0, 0, 0], [0, 1, 2, 0, 11, 5, 0, 1, 0], [2, 2, 4, 0, 10, 6, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 20, 1], [0, 0, 1, 2, 0, 0, 0, 0, 11]]"

Validation overall accuracy_RF_bajie2_2020_30: ,0.6

Validation kappa accuracy_RF_bajie2_2020_30: ,0.5419883709846535

Validation kappa accuracy_RF_bajie2_2020_30水稻面积为(Km): ,187.13528411645382

当前时间为： ,2022-08-01 22:36:21.993869

Validation error matrix_RF_chousui2_2020_30: ,"[[12, 0, 0, 1, 0, 0, 0, 0, 0], [0, 17, 0, 5, 0, 0, 0, 0, 0], [3, 2, 6, 0, 1, 1, 0, 0, 0], [2, 0, 2, 6, 0, 0, 0, 0, 0], [0, 1, 0, 3, 14, 2, 0, 0, 1], [0, 0, 6, 2, 7, 5, 0, 0, 2], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 18, 4], [0, 0, 0, 0, 0, 0, 0, 1, 15]]"

Validation overall accuracy_RF_chousui2_2020_30: ,0.6690647482014388

Validation kappa accuracy_RF_chousui2_2020_30: ,0.6216568047337278

Validation kappa accuracy_RF_chousui2_2020_30水稻面积为(Km): ,174.49302009667502

